pie,offer,Accept,Reject,Error,percAccept,expecAccept
11,1,908,994,18,47.73922187171399,78.75
19,1,456,853,11,34.83575248281131,93.75
11,3,704,63,1,91.78617992177314,100
19,3,731,78,7,90.3584672435105,76.36363636363636
11,5,167,25,0,86.97916666666667,97.05882352941177
19,5,680,62,2,91.64420485175202,96.7741935483871
