Subject,Profit,Role,endowment,choice,Belief,TimeCQ,CountCQ,SVO,Studium,Semesterzahl,Alter,Geschlecht,Session
146,19.7,1,19,1,0,3,0,0.299117934911638,Wirtschaftsmathematik,3,20,1,5
147,11.52,0,11,1,1,11,0,0.223476601140633,Lehramt,1,20,1,5
148,15.7,1,19,5,0,3,0,0.654191491000836,FSU Jena (Philosophische Fakultät/Germanistik),3,21,1,5
149,9,0,11,3,0,3,0,0.254184386960143,Business Administration,5,23,1,5
150,12,0,11,1,1,7,0,0.136402604400947,Politikwissenschaft,3,22,0,5
151,11.7,0,11,1,1,3,0,0.203744680883857,Philosophische F. / Slawistik,3,20,1,5
152,19.7,1,19,1,1,5,0,0.136402604400947,GENERAL Management (Master),2,29,1,5
153,11.36,0,11,1,0,3,1,1.05456565618315,Wirtschaftswissenschaft,3,23,0,5
154,11.08,0,11,1,0,3,0,1.07144960511477,wirtschaftswissenschaften,5,22,0,5
155,9,0,11,3,0,3,0,0.674095364521115,Philosophische Fakultät/ Germanistik,1,20,1,5
156,9.62,0,11,3,0,3,0,0.53172406725880506,Philosophische Fakultät/ Anglistik/ Amerikanistik,1,20,1,5
157,19.7,1,19,1,0,3,0,0.380506377112365,Altertumswissenschaften,7,23,1,5
158,17.36,1,19,3,0,3,0,0.414055950220339,ev. Theologie,14,26,1,5
161,17.7,1,19,3,0,3,0,0.148691967014183,Anglistik,1,21,1,6
162,11.26,0,11,1,0,3,0,0.577598354700776,FSU,1,24,1,6
163,9.7,0,11,3,0,3,1,0.445301043887686,Biogeowissenschaften,1,23,0,6
164,9.18,0,11,3,0,3,0,0.919535916888119,Wirtschaftswissenschaften,3,19,1,6
165,11.18,0,11,1,1,3,0,0.713626230461629,Geschichte,1,21,1,6
166,9.5,0,11,3,0,3,0,0.608689307327412,"Fakultät für Wirtschaftswissenschaften, Studium Economics Master",1,28,0,6
167,17.82,1,19,3,0,3,0,0.515549007458979,Nordamerikastudien,10,27,0,6
168,15.88,1,19,5,0,3,0,0.918561815593186,Biotechnologie,5,21,1,6
169,19.44,1,19,1,1,3,0,0.500030015048337,-,-,22,0,6
170,19.92,1,19,1,1,3,0,0.173535577538174,Physik,0,19,0,6
171,12,0,11,1,1,30,0,0.136402604400947,Chemisch-Geowissenschaftlich / Geowissenschaften,5,20,1,6
172,9.7,0,11,3,0,6,1,0.515549007458979,Physik,1,19,0,6
173,11.74,0,11,1,0,3,0,0.484677013247015,Ernährungswissenschaften,1,23,1,6
174,11.7,0,11,1,0,4,0,0.602532624521019,Sozialwissenschaft,5,22,1,6
175,19.7,1,19,1,1,3,0,0.283794109208328,Biologie,3,21,1,6
176,11.7,0,11,1,1,3,0,0.136402604400947,Biochemie,1,21,1,6
177,17.36,1,19,3,0,3,0,0.654191491000836,Jurisprudenz,1,18,0,6
178,19.7,1,19,1,0,19,0,0.136402604400947,Fakultät für Sozialwissenschaften/Kommunikationswissenschaften,1,19,1,6
179,19.92,1,19,1,1,3,0,0.209973512862163,Interkulturelle Personalentwicklung,1,26,1,6
180,11.58,0,11,1,1,3,0,0.375270822855957,Chemie,1,23,1,6
181,11.5,0,11,1,1,3,0,0.136402604400947,Volkskunde/Erziehungswissenschaft,3,20,1,6
182,17.44,1,19,3,1,10,0,0.0906598872007452,BWL,3,20,1,6
183,16.74,1,19,3,0,3,0,0.654191491000836,Soziologie,5,22,1,6
184,16.94,1,19,3,0,4,0,0.574304830174702,Biologie,3,23,0,6
185,19.18,1,19,1,0,3,0,0.654191491000836,Biologie,3,24,1,6
186,11,0,11,1,1,11,0,0.136402604400947,Physik,1,20,0,6
187,19.7,1,19,1,0,3,0,0.645861450594059,Soziologie,3,23,0,6
188,9.62,0,11,3,0,8,0,0.49116359828626,Maschinenbau,3,20,0,6
189,19,1,19,1,0,3,0,0.136402604400947,Physik,01,17,1,6
